mbid	thedomid	thename	location	explanation
456a3da63adc	UP5P0526	Hurricane	73-33	-
b33f7c3c3d1f	UP5H0114	Husby	57-35	-
e7aba01d626f	UP5H0122	Hustrukobben	72-11	-
9ed5742a784d	AP4P0073	Hydrogen	39-61	-
c89189f25a98	UP5P0802	Hydrology	50-23	-
809f6c28f3b1	UP4P0334	Hyena	40-35	-
98ce9ca8fd76	TP6P1491	Hyper_Talk	70-28	High-level programming language developed for Apple Computers HyperCard application
b2b856d94cff	TP6P1253	Hyssop	65-48	A Flower
f67f7b185ef7	UP5Y0100	Hyundai_Sonata	30-15	-
efccec552bb1	AP6P1122	Ice_Stop	63-61	Ice control agent
42b50d53383d	UP6Y4258	Ichneumon	47-35	Gods of Ancient Egypt
37e51559faa9	UP6P1486	Icon	77-57	procedural string processing language
21bd9768001a	UP5P0950	Idaho	66-47	-
0f8b70fee5bd	UP5P0708	Ideophobia	29-25	-
777b12b82581	UP7P2130	Idiazabal	55-33	NULL
e03a51aba1fd	UP6P1440	Iditarod_River	67-51	rises N of Chuathbaluk
2bcc76af5425	TP6P1513	Ie_Neko	48-18	House cat
d4b07c2b11be	UP5H0164	Igelboda	50-39	-
58b816d60fb8	UP7P2310	Illini_Nation	62-03	NULL
543c1369639d	UP5P0926	Illinois	49-43	-
d35756c08b80	UP6P1246	Imhotep	58-13	-
179c5e47ff07	UP5P0652	Immunology	74-09	-
35cea9c080cd	UP4P0338	Impala	66-07	-
215610a77199	UP5P0940	Indiana	67-57	-
991ba41de883	TP5P0931	Indianapolis	59-44	-
c3780e484438	TP4P0189	Indole	21-38	-
2c7e95361ab2	UP6Y4436	Indra	72-53	Indian Gods and legendary heroes
3d7d89305e2a	UP5P1066	Influenza	78-23	-
150fa5073c38	TP6P1473	Innoko_River	48-04	flows first N, then in a winding course generally SW, to Yukon R
d6531d7f2215	UP5P1006	Insulaphilia	40-09	-
922a579d5686	TP6Y4255	Intulo	70-22	African Gods and Legendary Heroes
711210fa2ccd	UP5Y0104	Invicta_S1	49-37	-
431d2cb68a55	UP5P0642	Iophobia	46-01	-
d0995f822b43	UP5P0958	Iowa	40-03	-
e9352e8a1a4f	TP5P0957	Iris_Nebula	65-08	Nevada (Largest city = Las Vegas  )
6c56f24c515c	UP5Y0106	Isetta_300	71-09	-
fb83fc5c3f40	UP5P0998	Islandophilia	74-13	-
ee02a0020ce6	UP5Y0108	Isuzu_Rodeo	46-09	-
41caa862619b	UP5P0990	Italophilia	50-47	-
ec54677bbb9e	UP5P0582	Itchetiky	29-55	-
8450ee30086d	UP6P1468	Itkillik_River	48-03	rises in N Brooks Range
fa75a65c1ea7	UP6Y4326	Itzamna	58-33	NULL
a9e3eb186b76	UP4H0030	Ivar	30-57	-
7a74a516ac4d	TP6Y4285	Ixtab	66-30	NULL
c65d57f9ef16	TP6Y4291	Ix_Chel	67-02	NULL
f1bdb242f8ee	UP6Y4312	Ix_Chup	78-43	NULL
3e3eef493ec4	TP5P1009	Jackson	49-12	-
f578db9a8423	TP6P1273	Jack_Frost	48-06	An elfish creature who personifies crisp, cold, winter weather. a variant of Father Winter. He is a figure some believe to have originated in Viking folklore.
f4bddca5717c	UP4P0340	Jaguar	30-05	-
42a50c08b545	UP6Y4304	Jaguargott	72-49	NULL
bb2b2b100a44	TP6Y4229	Jaguarnacht	66-08	NULL
61487316ca54	TP4H0046	Jakobsberg	30-04	-
10a865174b6e	TP6Y4281	Janaka	57-56	Indian Gods and legendary heroes
b7a2a1305ed0	TP5Y0091	Jannowitzbrucke	50-06	-
9d5d0842334e	UP5P0786	Japanology	50-19	-
a064370cf9d2	UP5P0988	Japonophilia	46-15	-
9112339920e2	TP7P2115	Jarslberg	62-08	NULL
9f78a4f96b83	UP5Y0112	Jeep_Cherokee	39-19	-
a0c0ead240fc	TP5P0953	Jefferson_City	74-24	-
73659395df5e	UP5P0538	Jet_Stream	59-37	-
a701e82d0635	TP6P1839	Jewel_Squid	76-18	NULL
53ea87335d97	TP7P2167	Jiminy_Cricket	62-30	NULL
434978d8d833	TP6P1883	Johnston_Atoll	61-64	NULL
62e4909d4660	TP6P1483	JOSS	64-28	JOHNNIAC Open Shop System was an early interactive timesharing language
55eb29858daf	AP5P0455	Juneau	47-61	-
ce9692f580c9	UP4P0086	Juneberry	40-51	-
c5852b10b983	TP6P1233	Juniper	58-24	Hole  6 Par 3   180 yards
ed17776c9aa8	UP6Y4398	Kadesch	47-23	Gods of Ancient Egypt
910c58dc8e01	UP6Y4416	Kadru	57-21	Indian Gods and legendary heroes
97d1b0f21f19	TP5H0105	Kaja	57-38	-
f3035e6ef087	UP6Y4314	Kali	47-17	Indian Gods and legendary heroes
27671b6dd2f9	UP6H7590	Kalvdans	77-15	NULL
dfcb891f550d	TP6Y4439	Kamadewa	64-26	Indian Gods and legendary heroes
649d4b5dfaea	UP6Y4246	Kamephis	46-59	Gods of Ancient Egypt
98a9e8e72cf1	UP4P0342	Kangaroo	30-07	-
e34871ac0864	UP5P1024	Kansas	39-17	-
3d60b58b0e0d	UP6P1456	Kantishna_River	48-27	central Alaska; rises on N slope of Mt. McKinley
b2c3bb6ad5b5	UP6Y4350	Kanyarundi	77-39	African Gods and Legendary Heroes
eb0d57719e84	TP6Y4351	Kao_Kuo_zhu	78-04	Chinese gods and mythical heroes
6540d583f8a7	AP5H0161	Karlberg	56-62	-
7917c864de61	TP6P1425	Karluk_River	48-32	35 km (22 miles) long
45277d29f268	UP6Y4366	Kashjapa	65-25	Indian Gods and legendary heroes
4fbdfaf92c34	UP7P2306	Kaskaskia_Nation	62-53	NULL
aafe5b50af7d	TP7P2119	Kasseri	71-08	NULL
043ed2c31e5c	TP5H0121	Kassgrundet	47-54	-
83ca64c07d22	TP6Y4369	Kasumamodini	74-46	Indian Gods and legendary heroes
acfd6e6e02d8	TP6P1583	Ka_BOOM	64-34	an Atari 2600 game where you must catch dropped bombs in buckets of water
b9d2fb3b60a8	TP6Y4421	Kek	57-36	Gods of Ancient Egypt
0be427a22956	UP6Y4354	Kematef	55-27	Gods of Ancient Egypt
014614881c4a	UP6P1412	Kemps_Card	47-55	A card Game
3da8fa4fcd30	UP5P0718	Kenophobia	38-25	-
c5a50d559e14	UP5P0918	Keno_Inuzakaish	55-43	-
0f86b06bd172	UP5P0932	Kentucky	66-43	-
422719b1caf1	UP6P1332	Keyhole	58-35	The dark dusty Keyhole Nebula gets its name from its unusual shape.
1af2e56e510a	UP5Y0114	Kia_Sportage	58-41	-
fde5d7fc9cbd	TP6P1673	Kid_Sampson	70-52	Character from Joseph Hellers catch-22
bab97581c1cc	UP6Y4252	Kihanga	47-47	African Gods and Legendary Heroes
640a5302bf9c	TP6P1505	Killik_River	48-28	NW Alaska; rises in Brooks Range
d28d98adfa7a	UP5P0824	Kinesiology	49-19	-
3c75852cd2f1	TP7Y4607	Kingisepp	55-42	NULL
abdfe78ba486	UP6P1436	KingSalmon_River	48-07	S Alaska, on Alaska Peninsula
c1a258bb155e	UP6P1410	Kings_In_The_Corner	65-57	A card Game
11c9feefa3cc	UP6P1834	Kiritimati	55-01	NULL
40f14ab43b31	UP5H0160	Kista	30-49	-
3676ac61f11a	UP6P1498	Kiwalik_River	48-31	NW Alaska, on N side of Seward Peninsula
3535df07a573	UP6P1428	Klondike	73-39	A card Game
e98a39ae9c43	TP6P1465	Klutina_River	48-26	S Alaska; rises in Chugach Mts.
01df6c1da645	UP5H0150	Knipa	47-45	-
0259b7a81e69	AP6P1176	Knossos	70-62	NULL
396a5d961de1	UP5P0612	Kobold	29-21	-
c8a7aee677c6	TP6P1441	Kobuk_River	58-02	NW Alaska; rises in Brooks Range
f4c0db8e6918	TP5P0917	Kobungo_Inuta	39-16	-
4b6a26b01d6b	UP5Y0116	Koenigsegg_CCR	58-55	-
e3eee807094f	UP5P0694	Koinoniphobia	29-07	-
a20e4747248c	UP6P1466	Kokolik_River	58-45	NW Alaska; rises in NW Brooks Range
05ecb4fd7a3f	TP7Y4553	Kolchugino	76-28	NULL
6486b9f6c41a	TP5H0149	Korp	64-52	-
851afc048183	UP5P0696	Kosmikophobia	66-39	-
19cf5b69fc9c	UP6P1438	Koyukuk_River	58-11	N central Alaska; rises on S slope of Brooks Range
f7f02f9ccd8d	UP6P1458	Koyuk_River	58-07	W Alaska; rises on Seward Peninsula
c2c5aaab7727	UP6P1588	Kraft	70-13	Character from Joseph Hellers catch-22
ed772112fcc6	TP6Y4261	Krischna	66-10	Indian Gods and legendary heroes
4b85ba7aba76	UP6H7624	Kryddost	77-23	NULL
1e8e490d95d7	UP6Y4260	Kuk	57-03	Gods of Ancient Egypt
5eb219eb2bc1	UP6P1560	KungFu	71-07	a martial arts beat em up arcade game influence by a Bruce Lee movie
369f97ef76de	TP5H0127	Kungsfiskare	47-44	-
b47cd037688a	UP6Y4274	Kung_Kung	73-09	Chinese gods and mythical heroes
7b411c54208f	UP6P1500	Kuparuk_River	58-03	N Alaska; rises in N Brooks Range
0838020e9bad	TP6P1427	Kuskokwim_River	58-58	rises on the NW slopes of the Alaska Range, central Alaska
ee3b4e6874df	TP6H7613	Kvass	77-20	-
652e07948d39	TP6H7625	Kvibille_cheddar	77-24	-
c5d9d8ac43f6	TP6P1507	Kvichak_River	58-44	S Alaska, at base of Alaska Peninsula
218b4bd3228e	TP6P1891	Kwajalein	55-10	NULL
32a17ef9bf43	TP5H0123	Labbkobb	46-28	-
e3783aab7fed	UP6P1480	Lab_View	71-33	visual programming language developed for lab automation by National Instruments
68cd09aee818	UP5Y0118	Lada_2110	64-15	-
365914f33943	UP4P0194	Lager	40-49	-
ea24c70a2f66	UP6Y4378	Lakschmana	74-39	Indian Gods and legendary heroes
e916e0cf27e0	UP5P0592	Lalophobia	50-41	-
5616e19cb827	UP4P0182	Lambic	30-21	-
fd6b929431a1	UP5Y0120	Lamborghiniish	65-41	NULL
b897262bf58a	UP5P0580	Lampwick	29-17	-
f2c126e81f64	UP5Y0124	Land_Rover	29-53	-
7e2b00bad815	TP5P0929	Lansing	30-54	-
55c4f65e789b	UP6Y4272	Laozi	73-03	Chinese gods and mythical heroes
359b91e881e6	TP6Y4381	Lao_tzu	65-22	Chinese gods and mythical heroes
a4c90c56a982	AP6P1130	Lap_Top	45-64	the top of a lap or a computer that can be placed there for use
c088f36023c9	UP5H0198	Larsberg	59-21	-
b254fa0dc242	UP5P0780	Laryngology	71-17	-
190ad4380b6e	UP5Y0126	LaSalle_Series_52	59-09	-
27efd53a4e89	TP6P1479	LaTeX	70-02	document formatting language
1d18c32e7022	UP7P2270	Laurelin	62-01	NULL
835526344d6d	TP6P1245	Leatherface	58-50	Leatherface is the main villain of The Texas Chain Saw Massacre movies. He is a six foot four inch tall maniac who wields a chainsaw.
637a11c33c78	UP7P2124	Leicester	55-47	NULL
e3745bed763b	UP4H0022	Leif_Eriksson	40-33	-
42ec848643f4	TP5P1001	Leishmaniasis	78-08	-
f82ea99946f7	TP6Y4253	Lei_Ku	48-50	Chinese gods and mythical heroes
6e15c2dd9e87	UP6P1554	Lemmings	70-43	a game where you must guide the dumb Lemmings to safety
7b2214c1af15	TP4P0079	Lemon	66-60	-
916ceadb214d	UP4P0346	Lemur	21-23	-
4659ab46dd7a	UP4P0348	Leopard	50-35	-
739fc68c5404	TP5P0941	Leprosy	58-04	-
47a5015a6e2b	UP5P0548	Leveche	38-47	-
e6aafa35cc0f	UP5P0636	Levophobia	38-29	-
f9a4eed216de	UP7Y4596	Lexovii	70-35	NULL
ac6578dd6de3	UP5Y0128	Lexus_LS	59-55	-
d0f3f833f6f7	UP6P1292	Le_Manoir_Du_Diable	58-43	The Devils Castle  is a two minute long, b/w French film directed by Georges Melies. It was from this two minute short that the horror film was born 1896
859a519c4df8	TP6Y4231	Lianja	77-52	African Gods and Legendary Heroes
5504ff26c3a5	TP5Y0119	Lichtenberg	58-34	-
8c0474305b8c	UP6P1602	Lieutenant_Nately	77-49	Character from Joseph Hellers catch-22
fcb9c520a031	UP6P1596	Lieutenant_Scheisskopf	63-51	Character from Joseph Hellers catch-22
2303b2bd1715	TP6P1613	Light_Blue	76-30	a color
0911f5de6d46	UP5P0596	Ligyrophobia	74-17	-
9f9c7ec1a995	UP6Y4238	Likanda	55-35	African Gods and Legendary Heroes
a94e7dcdf7b4	TP6P1201	Lilac	46-26	Lilacs are used as food plants by the larvae of some Lepidoptera species
18bdaac228fe	TP5H0167	Liljeholmen	39-22	-
06fce7d3cef3	UP5H0108	Lillbredskobben	46-33	-
0df7b060acad	TP4P0151	Lima_bean	21-34	-
c4502ee6681b	UP6P1878	Limburger	55-55	NULL
db092d7fb53e	UP4P0130	Lime	38-51	-
40eaad986cb7	UP5P0676	Limnophobia	71-25	-
33fe5a61e3c4	UP5Y0130	Lincon_Towncar	46-41	-
9f8c72e69e62	UP6H7614	Lingoncider	77-59	-
c9faf2749bfe	UP4P0352	Lion	40-39	-
a8262df75aa8	TP5H0153	Lira	57-42	-
b277afbb8794	UP6P1478	Lisp	77-45	family of list oriented languages whose name comes from LISt Processing
1e38489a87ff	TP4P0143	Lite	50-44	-
06f482883442	AP4P0070	Lithium	30-62	-
eda1865c31be	UP5P0632	Liticaphobia	67-55	-
d217a32ba5f0	TP6P1353	Little_Dumbbell	72-16	Was originally thought to consist of two separate nebulae, and is one of the faintest and hardest to see objects in Messiers list.
0b8cf97ade5d	UP6P1358	Little_Gem	73-47	It shows two distinct layers  a spherical outer region and a brighter, vase-shaped interior bubble.
1ad801933fb1	UP6P1360	Little_Ghost	73-43	A Relatively faint nebula, its main ring structure is about a light-year across.
2727889a12c2	TP5P0847	Little_Rock	71-34	-
ee4ae7a633a0	AP6P1126	Little_Round_Top	71-61	sight of a famous battle in Gettysburg Virginia
6f500c102b78	TP6P1301	Living_Dead	65-50	Return of the Living Dead is a horror film that was released in 1985. It was followed by several sequels.
008f8f9cfb53	UP5H0106	Livlandskobben	46-43	-
1d4733d52700	UP6Y4278	Li_Ning_Yang	48-49	Chinese gods and mythical heroes
71d43670b27f	TP6Y4467	Li_No_cha	47-12	Chinese gods and mythical heroes
5140bda6e07b	UP6Y4448	Li_Tiekuai	47-31	Chinese gods and mythical heroes
4bac501e2e5f	TP5H0107	Ljuskobben	56-42	-
f473eca3fcf1	UP4P0354	Llama	66-53	-
2da6cc827aba	TP6P1761	Lloyd_Aereo_Boliviano	71-16	Bolivia national airline
11aa586a0c63	UP5P0588	Loch_Ness_Monsterish	78-33	-
20dcbff86b0d	UP5P0572	Logophobia	38-33	-
6204d28017f5	TP6Y4367	Lokapala	65-26	Indian Gods and legendary heroes
20c7823b3cac	AP6P1187	Londinium	76-64	NULL
7609beae9ca6	TP4P0081	Loquat	21-50	-
7f09ccda3dbb	UP5Y0132	Lotus_Elite_II	39-35	-
c861a5ae476a	UP5P0944	Louisiana	49-25	-
bf499abd00ab	TP6P1657	Luciana22	70-48	Character from Joseph Hellers catch-22
a41b82c73983	UP6Y4460	Lung_Wang	78-25	Chinese gods and mythical heroes
4ad18021ddbc	TP6H7595	Lutfisk	77-08	NULL
ca54112824aa	TP6Y4447	Luxing	56-40	Chinese gods and mythical heroes
dbc83b20ace2	UP6Y4446	Lu_Dongbin	72-05	Chinese gods and mythical heroes
ae962dcf74f0	TP5P0989	Lyme_Disease	78-50	-
42b30c6c9b6c	TP6P1485	Lyric	63-60	Concurrent programming language developed for SPARC multicomputers
b8201831976b	UP6Y4284	Maat	57-19	Gods of Ancient Egypt
7126c7040a99	UP5Y0134	Mack_Bulldog	64-47	-
fe4fff5cfe19	TP5P0853	Macrophiliaish	78-44	-
bc97474a3f4c	UP6P1612	Madden_NFL	70-21	an American football video game series
7c983777b078	TP5P0927	Madison	67-06	-
4957f8e5d1a7	TP5P0971	Mad_Cow	78-42	-
8b8bcde663e4	UP7P2352	Mad_Hungarian	62-05	NULL
ae98314ef100	TP6Y4251	Mafdet	57-34	Gods of Ancient Egypt
f634ed54c5f0	TP6P1235	Magnolia	46-42	Hole  5 Par 4   455 yards
3456ce88eeb2	UP6Y4276	Mahischa	72-33	Indian Gods and legendary heroes
66b35ae8aa8b	UP7P2128	Mahon	55-11	NULL
972801d5a85e	UP7P2232	Maia	62-39	NULL
0bb095559b9a	UP5P0966	Maine	66-41	-
e1c0c8b43796	UP6Y4444	Maio_Shan	73-29	Chinese gods and mythical heroes
72e5530b266d	TP6P1623	Major_Danby	63-36	Character from Joseph Hellers catch-22
ddf93f202265	UP6P1644	Major_deCoverley	63-15	Character from Joseph Hellers catch-22
992f6f7858a6	UP6P1586	Major_Major	70-41	Character from Joseph Hellers catch-22
44cd836bd763	UP6P1598	Major_Sanderson	63-25	Character from Joseph Hellers catch-22
7260723d1855	UP6Y4248	Makaras	47-05	Indian Gods and legendary heroes
4d400f6af3cf	UP6P1836	Malaita	76-01	NULL
dea449736bc7	TP5P0997	Malariaish	64-50	-
f81c74216601	TP7P2197	Maleficent	62-36	NULL
91f2ac0828a1	TP5P0877	Malophilia	50-22	-
9a227030a18d	AP5P0435	Mammology	77-62	-
1865b82493e8	TP5P0569	Mamur	73-42	-
581e9c38406e	TP4P0207	Manatee	30-42	-
2ae0cfc9b7e9	TP7P2161	Manchego	76-50	NULL
271c2ff55ccb	TP6Y4475	Mandara	72-12	Indian Gods and legendary heroes
c243aec302ef	UP7Y4564	Mandubii	76-35	NULL
c0bb2366b6e7	UP6P1510	Maneki_Neko	56-23	Welcoming cat, beckoning cat
a3da1d091369	TP6Y4271	Manezet	57-20	Gods of Ancient Egypt
0c5bf2c7cad0	UP4P0088	Manganese	40-53	-
a75b83672b4b	UP6P1654	Manhattan	64-21	Drama_Comedy from Woody Allen
025d07f5a727	AP5P0421	Maniaphobia	50-64	-
308d3f7692fd	TP4P0129	Manicotti	29-64	-
354764f13e54	TP7P2321	Mantaukett_Tribe	62-46	NULL
2753cf9cdc6e	TP6P1481	Maple	77-58	"interpreted, dynamically typed language used in the computer algebra system of the same name"
4fd8e78d4332	UP5Y0136	Marcos_TSO	71-35	-
a7ac34c7cd00	TP6P1209	Marguerite	71-40	It is a short-lived biennal, occurring in the Mediterranean and western Asia
a449f728dc25	TP5H0231	Mariatorget	47-58	-
6584af07a218	TP6P1207	Marigold	65-20	A nice resturant near WI capitol, where a lot of icecube people have lunce
b12bafa1a1b0	UP6P1542	Mario_Tennis	63-39	a very fun tennis game; best with multiple players
a0d899b577cb	UP5Y0138	Marmon_78	38-07	-
d07ae303e7e1	TP6P1475	Martin_River	58-18	rises in Martin R. Glacier
595b005178af	UP5P0946	Maryland	67-53	-
60cad4124a82	TP5Y0161	Marzahn	49-02	Berlin S-Bahn Stations
1c871a91050d	UP5Y0140	Maserati_Bora	38-23	-
4fe753ce0042	UP5P1014	Massachusetts	64-59	-
2bc68dffa370	UP6P1248	Masterwort	48-01	A Flower
15217f14f1e4	TP6Y4429	Matali	72-20	Indian Gods and legendary heroes
919d4a9a9b02	TP6P1477	Matanuska_River	57-32	S Alaska; rises in Chugach Mts.
7df12bf722e2	UP6P1492	Mathematica	70-07	C based language used in the computer algebra system of the same name developed by Stephen Wolfram
b39c102be12c	UP6P1518	Matlab	70-49	"MATrix LABoratory, often used in numerical analysis"
26a6a17acc50	UP6Y4404	Mawenzi	70-27	African Gods and Legendary Heroes
327567401314	UP6Y4346	Mayahuel	78-07	NULL
79cad1c8e277	UP5Y0142	Maybach_57	39-51	-
4ae40cd8a13b	UP5Y0144	Mazda_RX7	56-39	-
32b90a69b8ce	TP6Y4383	Ma_Mien	56-10	Chinese gods and mythical heroes
fc385400b72a	UP5Y0146	McLaren_F1	38-05	-
0ca5737e6a94	TP6P1659	McWatt	70-46	Character from Joseph Hellers catch-22
166817e1fbd9	UP6P1460	Meade_River	48-13	N Alaska, S of Point Barrow
544122365687	TP6P1701	Mean_Streets	70-10	Character study of the New York underground
2b0f6d5918b3	TP5P0937	Measles	78-40	-
86438b93c165	UP5H0174	Medborgarplatsen	59-51	-
9a97dd8b6516	TP5P0631	Megalophobia	38-04	-
79aa8c1cec76	UP6P1576	Mega_Man	71-03	a platformer series for the NES
968e3b99565a	TP6Y4423	Mehit	47-34	Gods of Ancient Egypt
f2d5c9423799	TP5P0585	Melanophobia	74-56	-
f9b9612c308b	TP7Y4551	Meldii	77-48	NULL
25fe384c7530	TP6P1429	Melozitna_River	48-08	central Alaska; rises NW of Tanana
5720f4b9723b	AP6P1160	Memphis	76-62	NULL
f21d9a853f24	UP6P1508	Mendenhall_River	48-23	an Alaskan river north of Juneau
62b5755986ff	TP5P1005	Meningitis	78-46	-
cf5b3117f546	UP5Y0148	Mercedes_Benz	49-15	-
391319e31b9a	UP5Y0150	Mercury_Grand_Marquis	71-29	-
3b4c932b6664	UP4P0218	Merlot	30-41	-
23f9bc167181	AP5P0413	Mermaid	59-64	-
b7623ce9ed81	UP6P1284	Merope	72-21	The Merope Nebula is a chance occurrence, as the cluster is merely passing through an interstellar cloud.
b9e216d3fde2	UP6Y4472	Meru	65-05	Indian Gods and legendary heroes
ac4bf0dc3520	TP6Y4377	Meschenet	57-16	Gods of Ancient Egypt
a3bdf21b50b6	UP6Y4422	Mesektet	57-17	Gods of Ancient Egypt
f2d1a1c6b669	TP5P0659	Metallophobia	71-18	-
5a2f4317fbf7	UP6P1608	Metal_Gear	76-51	a stealth based series where you play an elite military operative
a19e1b2d911d	AP5P0446	Meteorology	70-64	-
bbc656e13d7d	UP4P0226	Methane	50-27	-
7dbbc1795c56	TP6P1543	Metroid	70-60	one of the toughest games on the original Nintendo
1ab4a406af2d	TP5P0741	Metrophilia	59-32	-
14be85ac9369	TP5P0697	Metrophobia	29-14	-
9ce319648c1c	TP7P2113	Metsovone	62-12	NULL
fca514352153	UP5Y0152	MG_Roadster	59-13	-
ddcb27ef88bc	UP6P1238	Michael_Myers	65-33	Also known as The Shape) - from the Halloween film series, created by John Carpenter
c672f3060de0	UP5P1030	Michigan	65-37	-
c5174b1c716a	AP5P0417	Microbiology	40-62	-
f4610aed678c	TP5P0839	Microphilia	29-10	-
0daa3dfe9ae3	TP5P0619	Microphobia	67-40	-
744cbbaa0e2c	AP6P1175	Miletus	60-62	NULL
968046fd1bb2	UP6P1212	Mimosa	71-05	A nice flower
a20172614e9b	UP5P1026	Minnesota	72-31	-
e9bd3e571f1d	AP4P0067	Mirugai	56-60	-
14fc92c73f8c	UP5P0968	Mississippi	78-51	-
84e80de6727d	TP6P1593	Missle_Command	64-10	an arcade game where you must intercept incoming missles to protect your bases
6d47c370d233	UP5P0972	Missouri	63-11	-
a32b7fd53d3e	UP6P1264	Mistletoe	65-43	A Flower
ab0e745eeec8	TP5P0537	Mistral	50-30	-
954812757638	AP5P0405	Mitmit	66-63	-
9d43090f990d	UP5Y0154	Mitsubishi_Galant	30-43	-
298d81d7e130	TP5P0603	Mnemophobia	29-56	-
8c6a6bbe74fc	UP6P1520	Modula	70-11	series of languages by Pascal father Niklaus Wirth
c1f63f005884	UP7P2312	Mohawk_Tribe	62-43	NULL
0562451ea296	AP6P1170	Mohenjodaro	76-61	NULL
b2ee67ddffa6	TP6Y4441	Mohini	72-32	Indian Gods and legendary heroes
182dd8ff3f55	TP4P0215	Mole	46-38	-
eb9f5614053e	TP5H0197	Molnby	30-08	-
e3b7f5c95672	TP4P0219	Mongoose	50-34	-
8b9f35308e27	TP4P0221	Monkey	21-28	-
27e9138f60f2	TP5P0993	Mononucleosis	46-44	-
d8696bdd96e2	TP6Y4317	Mono_Mono	55-52	African Gods and Legendary Heroes
e209531693eb	UP5P0902	Montana	74-05	-
24821a5d2f9e	UP6P1230	Montbretia	65-39	Evergreen or deciduous perennial herbs, that grow from basal underground corms
d1ead91e242a	TP7P2129	MontereyJack	55-34	NULL
6cc2299f2f1d	TP5P0869	Montgomery	49-32	-
563e7e10816a	AP5P0452	Montpelier	58-62	-
464c50f62181	UP7P2114	Mont_De_Cats	55-03	NULL
1c2cd3e2e645	TP6P1863	Moorea	55-04	NULL
d8127287b6ce	AP6P1154	Mop_Top	45-62	haircut popularized by the Beatles
d55563f716ee	UP7P2112	Morbier	55-39	NULL
eb9aaf61e9b8	UP5Y0156	Morgan_8	74-33	-
b62e1b76c3c8	UP5H0156	Morkulla	65-29	-
4c0fc79aaaf5	UP5Y0158	Morris_Minor	49-31	-
705f58c0eb71	UP4P0114	Mostaccioli	74-59	-
1f64ae8147c5	TP5P0717	Motorphobia	46-20	-
5a257552cd07	AP6P1148	Mountain_Top	64-62	highest point of a mountain
d638529ba5ad	TP4P0225	Mouse	21-26	-
306628d644b8	TP6Y4319	Moya	47-32	African Gods and Legendary Heroes
6f474fdbee16	UP6P1862	Mozzarella	76-39	NULL
1db4f6bc042a	TP6P1641	Mrs_Scheisskopf	77-56	Character from Joseph Hellers catch-22
6036502b646b	TP6P1575	Mr_Bukie	64-22	an real time strategy game where you navigate a cat through a hostile political climate Video Games
a8a57f19d622	TP7P2369	Mr_Cub	62-48	NULL
414ac7e24a84	AP6P1163	Mudurai	75-63	NULL
1ea49e87099a	AP6P1157	Muffin_Top	78-62	the puffed crusty part of a muffin
55c986ace722	UP6P1506	Mulchatna	48-29	River
dca87bfe1ad0	TP6H7615	Mumma	77-12	-
4e94b4fc575e	TP5P1017	Mumps	56-36	-
941342f23d3e	TP6P1231	Mums	48-58	The first and last letter in this flower name are identical  Flowers
008b8cd24d58	TP5P0591	Murophobiaish	74-02	-
1ee2d07364ba	TP4P0209	Mushroom	71-60	-
cb35bed0a1b5	AP5P0427	Musicology	62-64	-
65207af0c0d1	TP6Y4449	Mu_Kung	73-44	Chinese gods and mythical heroes
0530dd09f069	AP5P0432	Mycology	67-61	-
838365d96c9c	TP5P0875	Myrmecophilia	29-48	-
a432d3e2f5f8	TP5P0789	Mysophilia	39-58	-
e6173aaa9722	AP5P0434	Mythology	59-63	-
bbf321953f5a	UP6P1474	Nabesna_River	48-11	E Alaska; rises in Nabesna Glacier, in the Wrangell Mts.
a0c9794bcdc3	TP4H0040	Nacka	30-34	-
4b9b86a719c4	UP6Y4300	Nacon	57-07	NULL
be3331313abb	UP6Y4468	Nakula	65-09	Indian Gods and legendary heroes
c58d0397e2c5	UP6Y4236	Nali	57-13	African Gods and Legendary Heroes
0923e78e8b10	TP6Y4311	Nandi	65-02	Indian Gods and legendary heroes
8c78fe27060f	AP5P0428	Nanotechnologyish	58-64	-
82b54295e9cb	TP4P0145	Napthalene	21-44	-
144211cb2ed5	UP6Y4268	Narayana	73-19	Indian Gods and legendary heroes
29fa380fcaf1	TP4P0227	Narwhal	49-34	-
ad443f6e62f4	AP6P1136	Nasal_Stop	53-64	a stop
13ab0a4b7198	TP5P0791	Nashville	64-12	-
1248d1f7b12b	UP5Y0160	Nash_Special_6	67-31	-
6aa68f2742c8	TP6Y4321	Nchienge	47-26	African Gods and Legendary Heroes
84da6b648629	UP5P1016	Nebraska	73-37	-
a9eb89a067c7	TP6P1355	Neb_One	48-24	Lame.
1f722680a125	UP7P2210	Neck	62-11	NULL
fc3381009f22	UP6Y4280	Nefertem	63-31	Gods of Ancient Egypt
d8db4a3f3e95	TP5P0779	Nemophilia	39-40	-
9cc6aee6e07f	TP6P1515	Nemuri_Neko	48-20	Sleeping cat, often means peace
4cbe1d29a32c	TP6P1435	Nenana_River	48-14	S tributary of Tanana R.; rises in central Alaska Range
0452a08290bf	TP5P0677	Neophilia	74-60	-
7a372d7364d9	AP5P0436	Nephology	55-62	-
c9187e466a09	UP6P1426	Nertz	73-51	A card Game
c57858dec404	AP5P0433	Neurology	58-61	-
dd2545ce83c8	UP5P0900	Nevada	64-39	-
10728ab8b8db	TP6P1911	New_Georgia	55-60	NULL
415172971870	UP5P0964	New_Hampshire	49-11	US State Names
d5edcc4d9a95	UP5P1012	New_Jersey	40-11	-
